symbol,name,nifty200_member,model_version,historical_bar_count,start_date,end_date,signal_count,target_count,stop_count,status
HEROMOTOCO,HEROMOTOCO Limited,NIFTY_200,202609090844,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
FORTIS,FORTIS Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
GAIL,GAIL Limited,NIFTY_200,202609091046,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
ATGL,ATGL Limited,NIFTY_200,202609091047,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
GLENMARK,GLENMARK Limited,NIFTY_200,202609090844,250,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
GMRINFRA,GMRINFRA Limited,NIFTY_200,202609091047,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
GODREJPROP,GODREJPROP Limited,NIFTY_200,202609091049,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
ASTRAL,ASTRAL Limited,NIFTY_200,,250,2025-09-08,2026-09-04,0,,,MODEL_UNAVAILABLE
ASHOKLEY,ASHOKLEY Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
GRASIM,GRASIM Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
HAL,HAL Limited,NIFTY_200,202609090844,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
HAVELLS,HAVELLS Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
HCLTECH,HCLTECH Limited,NIFTY_200,202609090844,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
HDFCBANK,HDFCBANK Limited,NIFTY_200,202609090641,249,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
HDFCLIFE,HDFCLIFE Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
HINDALCO,HINDALCO Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
HINDCOPPER,HINDCOPPER Limited,NIFTY_200,202609090845,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
HINDPETRO,HINDPETRO Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
HINDUNILVR,HINDUNILVR Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
HUDCO,HUDCO Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
ICICIBANK,ICICIBANK Limited,NIFTY_200,202609090641,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
ICICIGI,ICICIGI Limited,NIFTY_200,202609090845,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
ICICIPRULI,ICICIPRULI Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
IDBI,IDBI Limited,NIFTY_200,202609090845,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
IDFCFIRSTB,IDFCFIRSTB Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
IGL,IGL Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
INDHOTEL,INDHOTEL Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
INDIAMART,INDIAMART Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
INDIANB,INDIANB Limited,NIFTY_200,202609090845,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
INDIGO,INDIGO Limited,NIFTY_200,,250,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
INDUSTOWER,INDUSTOWER Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
INFY,INFY Limited,NIFTY_200,202609090641,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
IOC,IOC Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
