symbol,index_membership,sector,industry,model_name,model_version,record_count,first_date,last_date,signal_count,champion_model_available,historical_data_available,eligibility,actually_scanned
INDIANB,NIFTY_200,,,INDIANB_rf_202609090845.joblib,202609090845,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
INDIGO,NIFTY_200,,,,,250.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
INDUSTOWER,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
INFY,NIFTY_200,,,INFY_rf_202609090641.joblib,202609090641,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
IOC,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
IRB,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
IRCTC,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
IRFC,NIFTY_200,,,IRFC_rf_202609090845.joblib,202609090845,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
ITC,NIFTY_200,,,ITC_rf_202609090845.joblib,202609090845,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
JINDALSTEL,NIFTY_200,,,JINDALSTEL_rf_202609090846.joblib,202609090846,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
JSWENERGY,NIFTY_200,,,JSWENERGY_rf_202609090846.joblib,202609090846,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
JSWSTEEL,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
JUBLFOOD,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
KALYANKJIL,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
KARURVYSYA,NIFTY_200,,,KARURVYSYA_rf_202609090846.joblib,202609090846,989.0,2021-09-09,2026-09-07,0,True,True,ELIGIBLE,True
KEI,NIFTY_200,,,KEI_rf_202609090846.joblib,202609090846,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
KOTAKBANK,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
KPITTECH,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
L&TFH,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
LICHSGFIN,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
LICI,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
LT,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
LUPIN,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
M&M,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
M&MFIN,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
MANAPPURAM,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
MARICO,NIFTY_200,,,MARICO_rf_202609090846.joblib,202609090846,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
MAZDOCK,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
MFSL,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
MGL,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
MPHASIS,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
MRF,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
NATIONALUM,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
NAVINFLUOR,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
NESTLEIND,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
NHPC,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
NMDC,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
NTPC,NIFTY_200,,,NTPC_rf_202609090847.joblib,202609090847,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
NYKAA,NIFTY_200,,,NYKAA_rf_202609090847.joblib,202609090847,946.0,2021-11-10,2026-09-09,0,True,True,ELIGIBLE,True
OBEROIRLTY,NIFTY_200,,,OBEROIRLTY_rf_202609090847.joblib,202609090847,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
OIL,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
ONGC,NIFTY_200,,,ONGC_rf_202609090847.joblib,202609090847,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
PAGEIND,NIFTY_200,,,,,250.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PATANJALI,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PEL,NIFTY_200,,,,,211.0,2025-11-07,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PERSISTENT,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PETRONET,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PFC,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PHOENIXLTD,NIFTY_200,,,PHOENIXLTD_rf_202609090847.joblib,202609090847,987.0,2021-09-09,2026-09-07,0,True,True,ELIGIBLE,True
PIDILITIND,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PIIND,NIFTY_200,,,PIIND_rf_202609090847.joblib,202609090847,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
PNB,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
POLYCAB,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
POONAWALLA,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
PRESTIGE,NIFTY_200,,,PRESTIGE_rf_202609090847.joblib,202609090847,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
PVRINOX,NIFTY_200,,,PVRINOX_rf_202609090847.joblib,202609090847,986.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
RADICO,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
RECLTD,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
RELIANCE,NIFTY_200,,,RELIANCE_rf_202609090641.joblib,202609090641,990.0,2021-09-09,2026-09-08,7,True,True,ELIGIBLE,True
RVNL,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
SAIL,NIFTY_200,,,SAIL_rf_202609090848.joblib,202609090848,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
SBICARD,NIFTY_200,,,SBICARD_rf_202609090848.joblib,202609090848,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
SBILIFE,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
SBIN,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
SHREECEM,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
SHRIRAMFIN,NIFTY_200,,,SHRIRAMFIN_rf_202609090848.joblib,202609090848,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
SJVN,NIFTY_200,,,SJVN_rf_202609090848.joblib,202609090848,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
SKFINDIA,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
SONACOMS,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
SRF,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
SUNPHARMA,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
SUNTV,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
SUPREMEIND,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
SUZLON,NIFTY_200,,,SUZLON_rf_202609090848.joblib,202609090848,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
SYNGENE,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
TATACOMM,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TATAELXSI,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TATAMOTORS,NIFTY_200,,,,,208.0,2025-11-12,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TATAPOWER,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TATASTEEL,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
EICHERMOT,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
FEDERALBNK,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
GODREJCP,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
HINDZINC,NIFTY_200,,,HINDZINC_rf_202609090848.joblib,202609090848,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
INDUSINDBK,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
KANSAINER,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
MAHABANK,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
MARUTI,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
MUTHOOTFIN,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
PAYTM,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
POWERGRID,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
SIEMENS,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TATACONSUM,NIFTY_200,,,TATACONSUM_rf_202609090848.joblib,202609090848,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
TCS,NIFTY_200,,,TCS_rf_202609090641.joblib,202609090641,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
TECHM,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TIINDIA,NIFTY_200,,,TIINDIA_rf_202609090849.joblib,202609090849,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
TITAN,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TORNTPHARM,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
TORNTPOWER,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
TRENT,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
TRIDENT,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
UBL,NIFTY_200,,,UBL_rf_202609090849.joblib,202609090849,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
UCOBANK,NIFTY_200,,,UCOBANK_rf_202609090849.joblib,202609090849,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
ULTRACEMCO,NIFTY_200,,,ULTRACEMCO_rf_202609090849.joblib,202609090849,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
UNIONBANK,NIFTY_200,,,UNIONBANK_rf_202609090849.joblib,202609090849,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
UNITDSPR,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
VBL,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
VEDL,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
VOLTAS,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
WHIRLPOOL,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
WIPRO,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
