symbol,name,sector,index_membership,model_name,record_count,first_date,last_date,champion_model_available,historical_data_available,V22_eligible
SIEMENS,SIEMENS Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TATACONSUM,TATACONSUM Limited,,NIFTY_200,TATACONSUM_rf_202609090848.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
TCS,TCS Limited,,NIFTY_200,TCS_rf_202609090641.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
TECHM,TECHM Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TIINDIA,TIINDIA Limited,,NIFTY_200,TIINDIA_rf_202609090849.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
TITAN,TITAN Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TORNTPHARM,TORNTPHARM Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
TORNTPOWER,TORNTPOWER Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TRENT,TRENT Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
TRIDENT,TRIDENT Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
UBL,UBL Limited,,NIFTY_200,UBL_rf_202609090849.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
UCOBANK,UCOBANK Limited,,NIFTY_200,UCOBANK_rf_202609090849.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
ULTRACEMCO,ULTRACEMCO Limited,,NIFTY_200,ULTRACEMCO_rf_202609090849.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
UNIONBANK,UNIONBANK Limited,,NIFTY_200,UNIONBANK_rf_202609090849.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
UNITDSPR,UNITDSPR Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
VBL,VBL Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
VEDL,VEDL Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
VOLTAS,VOLTAS Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
WHIRLPOOL,WHIRLPOOL Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
WIPRO,WIPRO Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
