date,equity,cash,pos_count,equity_delta,exit_date,pnl,cum_realized,expected_equity,diff
2021-10-13,1794219.1903357564,255.4436297474313,10,-11095.263930196408,2021-10-13 00:00:00,20439.161263725513,1185567.2384442766,2185567.2384442766,-391348.0481085202
2021-10-14,1791038.0413851354,5.223053893772885,10,-3181.14895062102,2021-10-14 00:00:00,19380.159096363477,1204947.39754064,2204947.39754064,-413909.3561555047
2021-10-18,1818117.6032009476,7289.488822971965,10,27079.561815812252,2021-10-18 00:00:00,13763.234621505266,1218710.6321621453,2218710.6321621453,-400593.0289611977
2021-10-19,1770974.2171820002,19351.265257199357,10,-47143.386018947465,2021-10-19 00:00:00,26231.454674648172,1244942.0868367935,2244942.0868367935,-473967.8696547933
2021-10-20,1805225.20828694,6487.201526342687,10,34250.99110493972,2021-10-20 00:00:00,-462.1325275393847,1244479.9543092542,2244479.954309254,-439254.74602231407
2021-10-21,1847551.0738419427,4578.85656584645,10,42325.86555500282,2021-10-21 00:00:00,9619.116678409742,1254099.070987664,2254099.070987664,-406547.99714572146
2021-10-22,1846494.3975698124,23631.699937976373,10,-1056.6762721303385,2021-10-22 00:00:00,34444.82157753291,1288543.8925651968,2288543.892565197,-442049.4949953845
2021-10-25,1850595.0580710056,19768.08659540463,10,4100.660501193255,2021-10-25 00:00:00,1036.023143768014,1289579.915708965,2289579.9157089647,-438984.85763795907
2021-10-26,1911782.409882836,2926.5712388081597,10,61187.35181183042,2021-10-26 00:00:00,5180.72016540149,1294760.6358743664,2294760.6358743664,-382978.22599153034
2021-10-27,1889691.8081088704,24565.454810683208,10,-22090.601773965638,2021-10-27 00:00:00,34523.28927373243,1329283.9251480987,2329283.9251480987,-439592.1170392283
2021-10-28,1818953.30505199,17939.046404071443,10,-70738.50305688032,2021-10-28 00:00:00,-12067.730757904188,1317216.1943901945,2317216.1943901945,-498262.8893382044
2021-10-29,1935397.8731955693,1313.3115538763814,10,116444.56814357918,2021-10-29 00:00:00,1923.6751701994526,1319139.869560394,2319139.869560394,-383741.9963648247
2021-11-01,1933196.0803355584,3685.536420763208,10,-2201.7928600108717,2021-11-01 00:00:00,37225.20711022055,1356365.0766706145,2356365.0766706145,-423168.99633505614
2021-11-02,1911046.8725027416,1805.23936217773,10,-22149.207832816755,2021-11-02 00:00:00,3513.1497434426956,1359878.2264140572,2359878.2264140574,-448831.3539113158
2021-11-03,1875552.3493522948,10400.567919189256,10,-35494.523150446825,2021-11-03 00:00:00,3409.9543098295544,1363288.1807238867,2363288.180723887,-487735.8313715921
2021-11-04,1895216.9090563727,1828.652540870244,10,19664.559704077896,2021-11-04 00:00:00,-6228.152748681438,1357060.0279752053,2357060.0279752053,-461843.1189188326
2021-11-05,1910763.586429737,31.33299650961999,10,15546.677373364335,2021-11-05 00:00:00,-19638.112321620127,1337421.9156535852,2337421.9156535855,-426658.3292238484
2021-11-08,1919090.3471560057,220.07741876199725,10,8326.760726268636,2021-11-08 00:00:00,20323.814204829403,1357745.7298584147,2357745.7298584147,-438655.38270240906
2021-11-09,1903850.779774692,9.1200838352961,10,-15239.56738131377,2021-11-09 00:00:00,-9212.668085850331,1348533.0617725644,2348533.0617725644,-444682.2819978725
2021-11-10,1889948.1908734129,18582.86966827375,10,-13902.588901279029,2021-11-10 00:00:00,16340.661673128927,1364873.7234456933,2364873.723445693,-474925.53257228015
2021-11-11,1894912.328523921,5493.907785700809,10,4964.137650508201,2021-11-11 00:00:00,-9527.437157913071,1355346.2862877802,2355346.28628778,-460433.95776385884
2021-11-12,1892976.6683119652,10880.931903731718,10,-1935.6602119558956,2021-11-12 00:00:00,3462.5288042509937,1358808.8150920311,2358808.815092031,-465832.1467800657
2021-11-15,1888390.8437705224,3140.738164442999,10,-4585.824541442795,2021-11-15 00:00:00,-9133.893170522228,1349674.9219215089,2349674.921921509,-461284.07815098646
2021-11-16,1872974.7298421825,0.5070333446201403,10,-15416.11392833991,2021-11-16 00:00:00,1161.6896819739259,1350836.6116034829,2350836.6116034826,-477861.88176130014
2021-11-17,1864750.8230921852,6673.626452170778,10,-8223.906749997288,2021-11-17 00:00:00,2991.2236142532665,1353827.8352177362,2353827.835217736,-489077.012125551
2021-11-18,1833731.8956614216,5084.987984724779,10,-31018.927430763608,2021-11-18 00:00:00,-12703.237812021409,1341124.5974057147,2341124.597405715,-507392.7017442933
2021-11-22,1803199.824692065,8550.674660021527,10,-30532.07096935669,2021-11-22 00:00:00,-3879.1677499377793,1337245.4296557768,2337245.429655777,-534045.6049637119
2021-11-23,1880770.01310544,17454.72207646366,10,77570.18841337506,2021-11-23 00:00:00,4089.63096494044,1341335.0606207172,2341335.0606207172,-460565.0475152773
2021-11-24,1852875.8509068857,4966.849728144065,10,-27894.16219855426,2021-11-24 00:00:00,20735.136203636906,1362070.1968243541,2362070.196824354,-509194.3459174684
2021-11-25,1857637.547955104,59.126740046660416,10,4761.697048218222,2021-11-25 00:00:00,-14925.58106942295,1347144.6157549312,2347144.6157549312,-489507.0677998273
2021-11-26,1794884.946437127,19749.51608968427,10,-62752.60151797696,2021-11-26 00:00:00,7371.687392081629,1354516.3031470128,2354516.303147013,-559631.3567098859
2021-11-29,1816976.7157003616,17508.717249128793,10,22091.769263234688,2021-11-29 00:00:00,-9991.17765171902,1344525.1254952939,2344525.125495294,-527548.4097949325
2021-11-30,1843452.2658475067,4.841007533308584,10,26475.550147145055,2021-11-30 00:00:00,4283.153421559262,1348808.2789168532,2348808.2789168535,-505356.0130693468
2021-12-01,1855297.7733209864,10873.427739931823,10,11845.507473479724,2021-12-01 00:00:00,21808.406173027535,1370616.6850898808,2370616.6850898806,-515318.9117688942
2021-12-02,1881985.9830358976,6752.659217691049,10,26688.20971491118,2021-12-02 00:00:00,15885.560151584734,1386502.2452414655,2386502.2452414655,-504516.2622055679
2021-12-03,1865853.747597448,5250.152413121774,10,-16132.235438449541,2021-12-03 00:00:00,3587.0005394520476,1390089.2457809176,2390089.245780918,-524235.49818346975
2021-12-06,1871803.1296037708,12290.065913585306,10,5949.382006322732,2021-12-06 00:00:00,16709.830906603715,1406799.0766875213,2406799.0766875213,-534995.9470837505
2021-12-07,1889903.05149114,42.76547276851488,10,18099.921887369128,2021-12-07 00:00:00,1446.9688403003684,1408246.0455278216,2408246.0455278214,-518342.9940366815
2021-12-08,1900049.2758668696,77.83996141320677,10,10146.224375729682,2021-12-08 00:00:00,-6200.370395031523,1402045.67513279,2402045.67513279,-501996.3992659205
2021-12-09,1914669.7715980036,23868.301872394422,10,14620.495731133968,2021-12-09 00:00:00,25979.793807849645,1428025.4689406399,2428025.46894064,-513355.6973426363
2021-12-10,1901133.120745204,30787.143396876578,10,-13536.650852799648,2021-12-10 00:00:00,6638.588795174164,1434664.057735814,2434664.057735814,-533530.9369906099
2021-12-13,1913354.828924173,24609.24061393124,10,12221.7081789691,2021-12-13 00:00:00,-6380.883042781205,1428283.1746930329,2428283.174693033,-514928.3457688601
2021-12-14,1947004.432689482,22703.02823238974,10,33649.60376530909,2021-12-14 00:00:00,24563.99192196478,1452847.1666149977,2452847.1666149977,-505842.73392551555
2021-12-15,1929953.5949231389,36272.77592289471,10,-17050.837766343262,2021-12-15 00:00:00,14556.264269822157,1467403.4308848197,2467403.4308848195,-537449.8359616806
2021-12-16,1949529.9383443568,11240.705327389003,10,19576.343421217985,2021-12-16 00:00:00,-2277.630952018283,1465125.7999328014,2465125.799932801,-515595.8615884443
2021-12-17,1944862.2254077145,42692.838754291006,10,-4667.712936642347,2021-12-17 00:00:00,35975.819786745895,1501101.6197195472,2501101.619719547,-556239.3943118327
2021-12-20,1902498.6576048904,40872.3090636305,10,-42363.56780282408,2021-12-20 00:00:00,-14058.64699691741,1487042.9727226298,2487042.97272263,-584544.3151177396
2021-12-21,1941860.1730419332,680.7219234642398,10,39361.515437042806,2021-12-21 00:00:00,-32405.783513227085,1454637.1892094028,2454637.1892094025,-512777.0161674693
2021-12-22,1949498.558106128,1799.06299480499,10,7638.385064194677,2021-12-22 00:00:00,9903.715573781861,1464540.9047831846,2464540.9047831846,-515042.34667705675
2021-12-23,1959064.9778873343,2595.3381646526395,10,9566.419781206409,2021-12-23 00:00:00,5085.815568258544,1469626.7203514432,2469626.720351443,-510561.74246410886
2021-12-24,1986580.002888007,11620.325297779493,10,27515.025000672787,2021-12-24 00:00:00,18896.701751129807,1488523.4221025729,2488523.422102573,-501943.4192145658
2021-12-27,1983285.9873900304,8385.044019210967,10,-3294.015497976681,2021-12-27 00:00:00,6627.757074042678,1495151.1791766156,2495151.1791766156,-511865.19178658514
2021-12-28,1989007.5619283067,2954.427765403874,10,5721.574538276298,2021-12-28 00:00:00,-657.3247888317676,1494493.8543877837,2494493.8543877834,-505486.29245947674
2021-12-29,1984191.6694549045,9414.314451547456,10,-4815.8924734022,2021-12-29 00:00:00,12895.71565670691,1507389.5700444905,2507389.5700444905,-523197.900589586
2021-12-30,1987421.447966536,7667.7736386857,10,3229.7785116315354,2021-12-30 00:00:00,-1852.169623785155,1505537.4004207053,2505537.4004207053,-518115.9524541693
2021-12-31,1975775.0416288704,3530.4338941903843,10,-11646.406337665627,2021-12-31 00:00:00,-2304.3559034679283,1503233.0445172375,2503233.0445172377,-527458.0028883673
2022-01-03,1926928.3359051032,4059.103567151644,10,-48846.70572376717,2022-01-03 00:00:00,185.47254996400807,1503418.5170672014,2503418.5170672014,-576490.1811620982
2022-01-04,1916152.8012270145,13783.853021066405,10,-10775.534678088734,2022-01-04 00:00:00,-7983.746424982808,1495434.7706422186,2495434.7706422186,-579281.9694152041
2022-01-05,1919066.6374553377,4398.356067665009,10,2913.836228323169,2022-01-05 00:00:00,-12150.37710453071,1483284.3935376878,2483284.393537688,-564217.7560823504
2022-01-06,1944659.651401512,37.209466926025925,10,25593.01394617441,2022-01-06 00:00:00,-7473.166646477164,1475811.2268912108,2475811.226891211,-531151.5754896987
2022-01-07,1950217.7210855023,30.92400260118302,10,5558.069683990208,2022-01-07 00:00:00,-2444.340222403004,1473366.8866688078,2473366.886668808,-523149.1655833055
2022-01-10,1964937.4812103896,4169.67753569191,10,14719.76012488734,2022-01-10 00:00:00,20593.459708233397,1493960.3463770412,2493960.346377041,-529022.8651666516
2022-01-11,1960651.2973720809,8928.257165171613,10,-4286.183838308789,2022-01-11 00:00:00,25445.71813662281,1519406.064513664,2519406.0645136638,-558754.7671415829
2022-01-12,1964184.455665077,10071.749907935911,10,3533.1582929962315,2022-01-12 00:00:00,-551.5392399997168,1518854.5252736644,2518854.5252736644,-554670.0696085873
2022-01-13,1950400.3215177355,10423.129890232813,10,-13784.134147341596,2022-01-13 00:00:00,-1266.2221609567541,1517588.3031127076,2517588.3031127076,-567187.9815949721
2022-01-14,1979170.882675351,194.1608812227205,10,28770.561157615623,2022-01-14 00:00:00,1307.91578222906,1518896.2188949366,2518896.2188949366,-539725.3362195855
2022-01-17,1978590.561033516,17.42375019044266,10,-580.3216418351512,2022-01-17 00:00:00,6780.902634705993,1525677.1215296425,2525677.1215296425,-547086.5604961265
2022-01-18,1959060.270553608,16130.311564464297,10,-19530.290479908,2022-01-18 00:00:00,22905.41875327273,1548582.540282915,2548582.5402829153,-589522.2697293074
2022-01-19,2024038.9118308777,325.6872615569446,10,64978.64127726969,2022-01-19 00:00:00,659.5431081187016,1549242.0833910338,2549242.083391034,-525203.1715601564
2022-01-20,2006107.74478787,78.38165539319743,10,-17931.167043007677,2022-01-20 00:00:00,1983.2006647263916,1551225.2840557601,2551225.28405576,-545117.5392678902
2022-01-21,1968568.71125645,11070.033773845178,10,-37539.03353141993,2022-01-21 00:00:00,149.97717935105447,1551375.2612351112,2551375.2612351114,-582806.5499786614
2022-01-24,1956441.5690694617,1890.8921399878452,10,-12127.142186988378,2022-01-24 00:00:00,-16178.370221590785,1535196.8910135203,2535196.8910135203,-578755.3219440586
