symbol,signal_date,direction,entry,stop,exit,raw_profit,stop_breached,triggered_at,bars_available,extreme_gap_count,first_gap_pct
KOTAKBANK,2020-05-26T00:00:00,SHORT,229.2845916748047,236.16312942504882,382.2404479980469,-66.71004588925021,2020-05-27T00:00:00,NO,200,0,0.0
KOTAKBANK,2020-09-30T00:00:00,SHORT,252.14944458007812,259.7139279174805,338.5288391113281,-34.25722181347795,2020-10-01T00:00:00,NO,200,0,0.0
KOTAKBANK,2021-07-30T00:00:00,SHORT,329.0150451660156,338.8854965209961,363.8607177734375,-10.590905528298658,2021-08-04T00:00:00,NO,200,0,0.0
KOTAKBANK,2023-03-16T00:00:00,SHORT,331.11822509765625,341.05177185058596,363.88153076171875,-9.894745495932659,2023-03-29T00:00:00,NO,200,0,0.0
KOTAKBANK,2023-05-31T00:00:00,LONG,400.94256591796875,388.9142889404297,353.0247802734375,-11.951284228159262,2023-06-01T00:00:00,NO,200,0,0.0
KOTAKBANK,2024-05-03T00:00:00,SHORT,308.1135559082031,317.35696258544925,391.5418395996094,-27.07712208425591,2024-05-06T00:00:00,NO,200,0,0.0
KOTAKBANK,2024-06-04T00:00:00,SHORT,326.2911682128906,336.07990325927733,414.6053466796875,-27.066064628870297,2024-06-05T00:00:00,NO,200,0,0.0
KOTAKBANK,2024-11-13T00:00:00,SHORT,336.6001281738281,346.698132019043,389.2679443359375,-15.646998249183818,2024-11-19T00:00:00,NO,200,0,0.0
L&TFH,2020-11-09T00:00:00,SHORT,62.73619079589844,64.61827651977539,83.30000305175781,-32.77822895361985,2020-11-10T00:00:00,NO,200,0,0.0
L&TFH,2020-11-24T00:00:00,SHORT,67.9913330078125,70.03107299804688,87.69999694824219,-28.987023887537365,2020-11-25T00:00:00,NO,200,0,0.0
L&TFH,2021-03-03T00:00:00,LONG,112.30000305175781,108.93100296020508,76.9000015258789,-31.522707536849705,2021-03-05T00:00:00,NO,200,0,0.0
L&TFH,2025-01-14T00:00:00,SHORT,130.88999938964844,134.8166993713379,279.70001220703125,-113.69089579898922,2025-01-15T00:00:00,NO,200,0,0.0
LT,2020-09-24T00:00:00,SHORT,784.273193359375,807.8013891601563,1451.6524658203125,-85.09525483107089,2020-09-25T00:00:00,NO,200,0,0.0
M&MFIN,2020-11-09T00:00:00,SHORT,135.5500030517578,139.61650314331055,160.14999389648438,-18.14827760301371,2020-11-10T00:00:00,NO,200,0,0.0
M&MFIN,2022-03-08T00:00:00,SHORT,134.0500030517578,138.07150314331054,229.10000610351562,-70.90637887942324,2022-03-09T00:00:00,NO,200,0,0.0
MAHABANK,2021-06-07T00:00:00,LONG,28.649999618530273,27.790499629974363,17.450000762939453,-39.092492163060534,2021-06-08T00:00:00,NO,200,0,0.0
MAHABANK,2024-06-04T00:00:00,LONG,72.5,70.325,47.25,-34.82758620689655,2024-06-05T00:00:00,NO,200,0,0.0
MAHABANK,2025-04-08T00:00:00,SHORT,43.619998931884766,44.92859889984131,65.0199966430664,-49.06006014488678,2025-04-09T00:00:00,NO,200,0,0.0
MAHABANK,2025-05-12T00:00:00,SHORT,48.34000015258789,49.79020015716553,71.86000061035156,-48.65535867505479,2025-05-13T00:00:00,NO,200,0,0.0
MANAPPURAM,2023-06-09T00:00:00,SHORT,112.55000305175781,115.92650314331055,183.85000610351562,-63.34962338381229,2023-06-12T00:00:00,NO,200,0,0.0
MANAPPURAM,2024-11-26T00:00:00,SHORT,150.16000366210938,154.66480377197266,291.20001220703125,-93.92648182287651,2024-11-27T00:00:00,NO,200,0,0.0
