symbol,signal_date,direction,intended_entry,actual_entry,entry_execution_type,target,stop,entry_date,exit_date,outcome,bars_to_entry,bars_in_position,bars_to_expiry,profit_pct
BHARTIARTL,2021-03-25T00:00:00,SHORT,481.0548095703125,485.1761071845143,FAVORABLE_GAP,466.6231652832031,495.4864538574219,2021-03-26T00:00:00+00:00,2021-03-26T00:00:00+00:00,STOP_LOSS,1,1,200,-2.1250730446597474
BHEL,2020-11-20T00:00:00,SHORT,29.200000762939453,29.600000381469727,FAVORABLE_GAP,28.324000740051268,30.07600078582764,2020-11-23T00:00:00+00:00,2020-11-23T00:00:00+00:00,STOP_LOSS,1,1,200,-1.6081094534576499
BHEL,2022-06-20T00:00:00,SHORT,42.09999847412109,43.5,FAVORABLE_GAP,40.83699851989746,43.36299842834472,2022-06-21T00:00:00+00:00,2022-06-21T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
BHEL,2022-07-15T00:00:00,SHORT,49.54999923706055,49.79999923706055,FAVORABLE_GAP,48.06349925994873,51.036499214172366,2022-07-18T00:00:00+00:00,2022-07-19T00:00:00+00:00,STOP_LOSS,1,2,200,-2.4829317189861144
BHEL,2024-09-30T00:00:00,LONG,287.54998779296875,284.79998779296875,FAVORABLE_GAP,296.17648742675783,278.92348815917967,2024-10-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,STOP_LOSS,1,1,200,-2.0633777688434867
BHEL,2024-10-03T00:00:00,LONG,280.45001220703125,274.20001220703125,FAVORABLE_GAP,288.8635125732422,272.0365118408203,2024-10-04T00:00:00+00:00,2024-10-04T00:00:00+00:00,STOP_LOSS,1,1,200,-0.7890227096625423
BIOCON,2023-03-31T00:00:00,SHORT,201.6000061035156,202.60000610351562,FAVORABLE_GAP,195.55200592041012,207.6480062866211,2023-04-03T00:00:00+00:00,2023-04-03T00:00:00+00:00,STOP_LOSS,1,1,200,-2.491609097250603
BPCL,2020-12-23T00:00:00,SHORT,187.1999969482422,188.1999969482422,FAVORABLE_GAP,181.58399703979487,192.81599685668945,2020-12-24T00:00:00+00:00,2021-01-04T00:00:00+00:00,STOP_LOSS,1,7,200,-2.452709874228496
BPCL,2021-09-15T00:00:00,LONG,244.9750061035156,218.75,FAVORABLE_GAP,252.3242562866211,237.6257559204101,2021-09-16T00:00:00+00:00,2021-09-16T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
BPCL,2022-04-21T00:00:00,LONG,198.8500061035156,197.5,FAVORABLE_GAP,204.8155062866211,192.88450592041016,2022-04-22T00:00:00+00:00,2022-04-25T00:00:00+00:00,STOP_LOSS,1,2,200,-2.5316455696202533
BPCL,2022-10-20T00:00:00,SHORT,148.5500030517578,149.3000030517578,FAVORABLE_GAP,144.0935029602051,153.00650314331054,2022-10-21T00:00:00+00:00,2022-10-28T00:00:00+00:00,STOP_LOSS,1,4,200,-2.482585409102634
BPCL,2023-11-01T00:00:00,SHORT,174.625,175.27499389648438,FAVORABLE_GAP,169.38625,179.86375,2023-11-02T00:00:00+00:00,2023-11-03T00:00:00+00:00,STOP_LOSS,1,2,200,-2.9667735775830777
CANBK,2020-10-30T00:00:00,SHORT,17.239999771118164,17.399999618530273,FAVORABLE_GAP,16.72279977798462,17.75719976425171,2020-11-02T00:00:00+00:00,2020-11-03T00:00:00+00:00,STOP_LOSS,1,2,200,-2.052874445704196
CANBK,2020-11-26T00:00:00,SHORT,20.0,20.040000915527344,FAVORABLE_GAP,19.4,20.6,2020-11-27T00:00:00+00:00,2020-11-27T00:00:00+00:00,STOP_LOSS,1,1,200,-2.7944064814825462
CANBK,2020-11-27T00:00:00,SHORT,20.76000022888184,20.989999771118164,FAVORABLE_GAP,20.13720022201538,21.38280023574829,2020-12-01T00:00:00+00:00,2020-12-01T00:00:00+00:00,STOP_LOSS,1,1,200,-1.8713695517548954
CANBK,2021-04-23T00:00:00,SHORT,26.100000381469727,26.420000076293945,FAVORABLE_GAP,25.317000370025635,26.883000392913814,2021-04-26T00:00:00+00:00,2021-04-26T00:00:00+00:00,STOP_LOSS,1,1,200,-1.7524614507299283
CANBK,2022-06-20T00:00:00,SHORT,34.90999984741211,35.20000076293945,FAVORABLE_GAP,33.862699851989746,35.95729984283447,2022-06-21T00:00:00+00:00,2022-06-21T00:00:00+00:00,STOP_LOSS,1,1,200,-2.151417793980128
CANBK,2022-07-01T00:00:00,SHORT,36.970001220703125,37.189998626708984,FAVORABLE_GAP,35.86090118408203,38.07910125732422,2022-07-04T00:00:00+00:00,2022-07-05T00:00:00+00:00,STOP_LOSS,1,2,200,-2.3907035854975844
CANBK,2022-07-06T00:00:00,SHORT,38.54999923706055,39.02000045776367,FAVORABLE_GAP,37.393499259948726,39.70649921417237,2022-07-07T00:00:00+00:00,2022-07-07T00:00:00+00:00,STOP_LOSS,1,1,200,-1.75935096964384
CANBK,2024-06-04T00:00:00,LONG,128.25,127.80000305175781,FAVORABLE_GAP,132.0975,124.4025,2024-06-05T00:00:00+00:00,2024-06-05T00:00:00+00:00,STOP_LOSS,1,1,200,-2.6584530286606114
CANBK,2025-04-15T00:00:00,SHORT,90.54000091552734,92.83000183105469,FAVORABLE_GAP,87.82380088806153,93.25620094299316,2025-04-16T00:00:00+00:00,2025-04-17T00:00:00+00:00,STOP_LOSS,1,2,200,-0.4591178536375893
CANBK,2025-09-01T00:00:00,SHORT,103.83000183105467,104.0,FAVORABLE_GAP,100.71510177612303,106.94490188598633,2025-09-02T00:00:00+00:00,2025-09-03T00:00:00+00:00,STOP_LOSS,1,2,200,-2.8316364288330056
COALINDIA,2020-10-29T00:00:00,SHORT,110.8499984741211,111.5999984741211,FAVORABLE_GAP,107.52449851989746,114.17549842834472,2020-10-30T00:00:00+00:00,2020-10-30T00:00:00+00:00,STOP_LOSS,1,1,200,-2.3077956894603924
COALINDIA,2020-11-23T00:00:00,SHORT,122.75,123.75,FAVORABLE_GAP,119.0675,126.4325,2020-11-24T00:00:00+00:00,2020-11-25T00:00:00+00:00,STOP_LOSS,1,2,200,-2.1676767676767716
COALINDIA,2021-05-03T00:00:00,SHORT,132.1999969482422,132.5500030517578,FAVORABLE_GAP,128.23399703979493,136.16599685668945,2021-05-04T00:00:00+00:00,2021-05-07T00:00:00+00:00,STOP_LOSS,1,4,200,-2.728022422994339
COALINDIA,2022-02-24T00:00:00,SHORT,150.0,152.25,FAVORABLE_GAP,145.5,154.5,2022-02-25T00:00:00+00:00,2022-02-25T00:00:00+00:00,STOP_LOSS,1,1,200,-1.477832512315271
COALINDIA,2024-10-28T00:00:00,LONG,461.1000061035156,452.0,FAVORABLE_GAP,474.9330062866211,447.26700592041016,2024-10-29T00:00:00+00:00,2024-10-29T00:00:00+00:00,STOP_LOSS,1,1,200,-1.047122583980054
DELHIVERY,2025-04-21T00:00:00,SHORT,281.04998779296875,285.0,FAVORABLE_GAP,272.61848815917966,289.48148742675784,2025-04-22T00:00:00+00:00,2025-04-22T00:00:00+00:00,STOP_LOSS,1,1,200,-1.5724517286869606
FEDERALBNK,2023-06-30T00:00:00,SHORT,122.1500015258789,122.3499984741211,FAVORABLE_GAP,118.48550148010254,125.81450157165528,2023-07-03T00:00:00+00:00,2023-07-03T00:00:00+00:00,STOP_LOSS,1,1,200,-2.8316331350563826
GAIL,2020-11-09T00:00:00,SHORT,57.66666412353516,58.0,FAVORABLE_GAP,55.9366641998291,59.39666404724121,2020-11-10T00:00:00+00:00,2020-11-10T00:00:00+00:00,STOP_LOSS,1,1,200,-2.408041460760706
GAIL,2020-11-10T00:00:00,SHORT,60.133331298828125,60.79999923706055,FAVORABLE_GAP,58.32933135986328,61.93733123779297,2020-11-11T00:00:00+00:00,2020-11-11T00:00:00+00:00,STOP_LOSS,1,1,200,-1.8706118667829885
GAIL,2022-04-22T00:00:00,LONG,109.46666717529295,107.93333435058594,FAVORABLE_GAP,112.75066719055177,106.18266716003416,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,STOP_LOSS,1,1,200,-1.621989352117404
GAIL,2024-10-17T00:00:00,LONG,231.8600006103516,229.35000610351562,FAVORABLE_GAP,238.8158006286621,224.904200592041,2024-10-18T00:00:00+00:00,2024-10-18T00:00:00+00:00,STOP_LOSS,1,1,200,-1.93843705827853
GMRINFRA,2022-08-24T00:00:00,SHORT,33.70000076293945,33.95000076293945,FAVORABLE_GAP,32.68900074005127,34.71100078582764,2022-08-25T00:00:00+00:00,2022-08-25T00:00:00+00:00,STOP_LOSS,1,1,200,-2.2415316812567325
GMRINFRA,2024-08-02T00:00:00,LONG,101.5199966430664,97.55000305175781,FAVORABLE_GAP,104.5655965423584,98.4743967437744,2024-08-05T00:00:00+00:00,2024-08-05T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
GMRINFRA,2025-04-01T00:00:00,SHORT,75.7300033569336,76.80000305175781,FAVORABLE_GAP,73.45810325622558,78.0019034576416,2025-04-02T00:00:00+00:00,2025-04-02T00:00:00+00:00,STOP_LOSS,1,1,200,-1.564974424641356
HDFCBANK,2018-11-13T00:00:00,SHORT,445.28759765625,447.7822914369649,FAVORABLE_GAP,431.9289697265625,458.6462255859375,2018-11-14T00:00:00+00:00,2018-11-16T00:00:00+00:00,STOP_LOSS,1,3,200,-2.426164311703676
HDFCBANK,2020-04-03T00:00:00,SHORT,379.1583557128906,407.1811840343851,FAVORABLE_GAP,367.7836050415039,390.53310638427735,2020-04-07T00:00:00+00:00,2020-04-07T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
HDFCBANK,2020-05-19T00:00:00,SHORT,386.9852294921875,389.6872860697807,FAVORABLE_GAP,375.37567260742185,398.5947863769532,2020-05-20T00:00:00+00:00,2020-05-20T00:00:00+00:00,STOP_LOSS,1,1,200,-2.2858072679275017
HDFCBANK,2020-05-26T00:00:00,SHORT,397.1181640625,400.6123035867492,FAVORABLE_GAP,385.20461914062497,409.03170898437503,2020-05-27T00:00:00+00:00,2020-05-27T00:00:00+00:00,STOP_LOSS,1,1,200,-2.101634253927173
HDFCBANK,2020-08-03T00:00:00,SHORT,466.8141174316406,469.6094535260348,FAVORABLE_GAP,452.8096939086914,480.8185409545899,2020-08-04T00:00:00+00:00,2020-08-04T00:00:00+00:00,STOP_LOSS,1,1,200,-2.386895609616093
HDFCBANK,2022-06-17T00:00:00,SHORT,610.4888916015625,617.5653947653956,FAVORABLE_GAP,592.1742248535156,628.8035583496094,2022-06-20T00:00:00+00:00,2022-06-21T00:00:00+00:00,STOP_LOSS,1,2,200,-2.467997365435617
HDFCBANK,2022-07-19T00:00:00,SHORT,638.0846557617188,643.6937013470418,FAVORABLE_GAP,618.9421160888671,657.2271954345704,2022-07-20T00:00:00+00:00,2022-07-22T00:00:00+00:00,STOP_LOSS,1,3,200,-2.102474213932392
HDFCBANK,2022-10-13T00:00:00,SHORT,659.645263671875,670.7213685736215,FAVORABLE_GAP,639.8559057617188,679.4346215820312,2022-10-14T00:00:00+00:00,2022-10-14T00:00:00+00:00,STOP_LOSS,1,1,200,-1.2990868364518728
HDFCBANK,2023-07-04T00:00:00,LONG,827.4054565429688,821.6841820227852,FAVORABLE_GAP,852.2276202392578,802.5832928466797,2023-07-05T00:00:00+00:00,2023-07-05T00:00:00+00:00,STOP_LOSS,1,1,200,-2.32460227347736
HDFCBANK,2024-02-14T00:00:00,SHORT,662.6377563476562,663.0925826953933,FAVORABLE_GAP,642.7586236572265,682.516889038086,2024-02-15T00:00:00+00:00,2024-02-16T00:00:00+00:00,STOP_LOSS,1,2,200,-2.9293505687750567
HDFCBANK,2025-01-27T00:00:00,SHORT,790.9500732421875,799.2972339352833,FAVORABLE_GAP,767.2215710449218,814.6785754394532,2025-01-28T00:00:00+00:00,2025-01-28T00:00:00+00:00,STOP_LOSS,1,1,200,-1.9243581550308808
HDFCLIFE,2021-09-17T00:00:00,LONG,747.75,739.0499877929688,FAVORABLE_GAP,770.1825,725.3175,2021-09-20T00:00:00+00:00,2021-09-21T00:00:00+00:00,STOP_LOSS,1,2,200,-1.8581270576809288
HINDALCO,2022-04-22T00:00:00,LONG,514.1500244140625,502.6499938964844,FAVORABLE_GAP,529.5745251464843,498.7255236816406,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,STOP_LOSS,1,1,200,-0.780756045458539
HINDALCO,2022-09-29T00:00:00,SHORT,371.2000122070313,376.0,FAVORABLE_GAP,360.0640118408203,382.3360125732422,2022-09-30T00:00:00+00:00,2022-09-30T00:00:00+00:00,STOP_LOSS,1,1,200,-1.685109726926121
HINDPETRO,2020-10-29T00:00:00,SHORT,119.73332977294922,123.0,FAVORABLE_GAP,116.14132987976072,123.3253296661377,2020-10-30T00:00:00+00:00,2020-10-30T00:00:00+00:00,STOP_LOSS,1,1,200,-0.26449566352658943
HINDPETRO,2022-11-07T00:00:00,SHORT,135.73333740234375,137.0,FAVORABLE_GAP,131.66133728027344,139.80533752441406,2022-11-09T00:00:00+00:00,2022-11-09T00:00:00+00:00,STOP_LOSS,1,1,200,-2.047691623659895
HINDZINC,2024-05-23T00:00:00,LONG,772.2999877929688,758.75,FAVORABLE_GAP,795.4689874267578,749.1309881591797,2024-05-24T00:00:00+00:00,2024-05-24T00:00:00+00:00,STOP_LOSS,1,1,200,-1.267744558921957
HUDCO,2024-12-18T00:00:00,LONG,256.7099914550781,256.0,FAVORABLE_GAP,264.41129119873045,249.00869171142577,2024-12-19T00:00:00+00:00,2024-12-19T00:00:00+00:00,STOP_LOSS,1,1,200,-2.730979800224309
ICICIBANK,2018-07-19T00:00:00,SHORT,248.795166015625,249.36660342661963,FAVORABLE_GAP,241.33131103515623,256.25902099609374,2018-07-20T00:00:00+00:00,2018-07-23T00:00:00+00:00,STOP_LOSS,1,2,200,-2.7639697837494572
ICICIBANK,2020-02-20T00:00:00,LONG,524.628662109375,517.4354403585644,FAVORABLE_GAP,540.3675219726563,508.8898022460937,2020-02-24T00:00:00+00:00,2020-02-24T00:00:00+00:00,STOP_LOSS,1,1,200,-1.6515370703152545
ICICIBANK,2020-02-26T00:00:00,LONG,502.2816467285156,501.4183911477151,FAVORABLE_GAP,517.3500961303711,487.2131973266601,2020-02-27T00:00:00+00:00,2020-02-28T00:00:00+00:00,STOP_LOSS,1,2,200,-4.055070723510227
ICICIBANK,2020-05-26T00:00:00,SHORT,280.7291564941406,283.990064215829,FAVORABLE_GAP,272.3072817993164,289.15103118896485,2020-05-27T00:00:00+00:00,2020-05-27T00:00:00+00:00,STOP_LOSS,1,1,200,-1.817305470663775
ICICIBANK,2020-09-24T00:00:00,SHORT,321.9704895019531,325.18345543664685,FAVORABLE_GAP,312.3113748168945,331.6296041870117,2020-09-25T00:00:00+00:00,2020-09-25T00:00:00+00:00,STOP_LOSS,1,1,200,-1.9823114130173507
ICICIBANK,2020-09-25T00:00:00,SHORT,334.3908386230469,337.1242902351148,FAVORABLE_GAP,324.35911346435546,344.4225637817383,2020-09-28T00:00:00+00:00,2020-09-28T00:00:00+00:00,STOP_LOSS,1,1,200,-2.164861375468842
ICICIBANK,2020-09-30T00:00:00,SHORT,340.2413635253906,343.5982262195582,FAVORABLE_GAP,330.0341226196289,350.4486044311524,2020-10-01T00:00:00+00:00,2020-10-01T00:00:00+00:00,STOP_LOSS,1,1,200,-1.9937175715269195
ICICIBANK,2020-10-05T00:00:00,SHORT,357.84088134765625,361.6773231230817,FAVORABLE_GAP,347.1056549072265,368.576107788086,2020-10-06T00:00:00+00:00,2020-10-07T00:00:00+00:00,STOP_LOSS,1,2,200,-1.9074418615558604
ICICIBANK,2022-03-09T00:00:00,SHORT,642.0269775390625,667.5175450881378,FAVORABLE_GAP,622.7661682128906,661.2877868652344,2022-03-10T00:00:00+00:00,2022-03-10T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ICICIBANK,2023-03-20T00:00:00,SHORT,809.4180908203125,815.7563608240233,FAVORABLE_GAP,785.1355480957031,833.7006335449219,2023-03-21T00:00:00+00:00,2023-03-22T00:00:00+00:00,STOP_LOSS,1,2,200,-2.1997098132060433
ICICIBANK,2025-02-28T00:00:00,SHORT,1184.8909912109375,1191.188847446512,FAVORABLE_GAP,1149.3442614746093,1220.4377209472657,2025-03-03T00:00:00+00:00,2025-03-11T00:00:00+00:00,STOP_LOSS,1,7,200,-2.4554354721715987
IDBI,2021-01-29T00:00:00,SHORT,27.75,28.75,FAVORABLE_GAP,26.9175,28.5825,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
