symbol,total_pnl,trade_count,avg_pnl,net_pnl
INDUSINDBK,-27682.72324234133,21,-1318.224916301968,-27682.72324234133
M&M,-30158.831626991076,5,-6031.7663253982155,-30158.831626991076
HAL,-31810.86021589236,4,-7952.71505397309,-31810.86021589236
IGL,-34261.60853374616,9,-3806.8453926384627,-34261.60853374616
GAIL,-35475.98276541299,88,-403.136167788784,-35475.98276541299
COFORGE,-40653.72679799232,3,-13551.24226599744,-40653.72679799232
JUBLFOOD,-45248.34213009941,4,-11312.085532524852,-45248.34213009941
ICICIBANK,-47346.52144694397,260,-182.1020055651691,-47346.52144694397
FORTIS,-47976.84225020437,3,-15992.280750068123,-47976.84225020437
EXIDEIND,-50618.80616557794,6,-8436.46769426299,-50618.80616557794
LICHSGFIN,-56280.69359269877,4,-14070.173398174693,-56280.69359269877
BPCL,-56728.205200752636,46,-1233.2218521902746,-56728.205200752636
DELHIVERY,-58342.16787348974,2,-29171.08393674487,-58342.16787348974
DRREDDY,-62685.382673699336,5,-12537.076534739866,-62685.382673699336
SBIN,-63081.827849992456,296,-213.11428327700153,-63081.827849992456
BAJFINANCE,-72809.28458842514,251,-290.07683102958225,-72809.28458842514
M&MFIN,-97499.90312563894,17,-5735.288419155232,-97499.90312563894
POWERGRID,-123149.3558198432,67,-1838.0500868633314,-123149.3558198432
CGPOWER,-159645.8794299736,7,-22806.554204281943,-159645.8794299736
HDFCBANK,-235494.00272007266,181,-1301.0718382324455,-235494.00272007266
BANDHANBNK,-243838.78565394983,49,-4976.301748039792,-243838.78565394983
KOTAKBANK,-276093.1652918993,223,-1238.0859430130013,-276093.1652918993
ITC,-464998.5207183303,181,-2569.0526006537584,-464998.5207183303
WIPRO,-574531.3781773564,61,-9418.547183235352,-574531.3781773564
